,seller,cName,name,brandName,Prices,recOnly,recPrices,special,specialData,type,wholesalePrices
157,flowertopia,spoon-by-grav-4-smoke-grey,"Spoon by Grav - 4"" Smoke Grey",Humble and Fume,18.99,False,,,,Accessories,
158,flowertopia,spoon-by-grav-4-white,"Spoon by Grav - 4"" White",Humble and Fume,18.99,False,,,,Accessories,
159,flowertopia,strawberry-lemonade-1-1-sour-soft-chews,Strawberry Lemonade 1:1 Sour Soft Chews,Wana,7.65,False,,,,Edible,
160,flowertopia,subway-scientist-pre-roll-1g,Subway Scientist Pre-Roll | 1g,RIFF,8,False,,,,Pre-Rolls,
161,flowertopia,summer-punch-sparkling-beverage,Summer Punch Sparkling Beverage,Phresh Cannabis Cultivation,6.99,False,,,,Edible,
162,flowertopia,sunny-day-citrus-sugar-free-soft-chews-30-pack,Sunny Day Citrus Sugar Free Soft Chews | 30-Pack,Monjour ,35,False,,,,Edible,
163,flowertopia,sunset-mac-cold-cure-live-rosin-0-5g,Sunset Mac Cold Cure Live Rosin | 0.5g,Qwest,31.49,False,,,,Concentrate,
164,flowertopia,super-lemon-haze-cartridge-1g,Super Lemon Haze Cartridge | 1g,Back Forty,37,False,,,,Vaporizers,
165,flowertopia,sweet-herbal-cones-king-size-rolling-papers-cones-and-filters,"Sweet Herbal Cones King Size Rolling Papers, Cones and Filters",KUSH,2.3,False,,,,Accessories,
166,flowertopia,thc-citrus-shot,THC Citrus Shot,Aurora Drift,6.49,False,,,,Edible,
167,flowertopia,thc-oil-30ml,THC Oil | 30ml,Five Founders,34.66,False,27.73,True,"{'bogoSpecials': None, 'saleSpecials': [{'discount': 20, 'discountStacking': None, 'menuType': 'both', 'percentDiscount': True, 'source': None, 'sourceId': None, 'specialId': '62470e9a0211197a6cefb2b6', 'specialName': 'Self Care Saturday', 'specialRestrictions': {'concentrates-oil': {'discountType': 'percentDiscount'}, 'capsules-tablets': {'discountType': 'percentDiscount'}, 'Topicals': {'discountType': 'percentDiscount'}}, 'stackingBehavior': None, 'stackingMode': None, 'targetPrice': False, '__typename': 'Products_specialData_saleSpecials'}], '__typename': 'Products_specialData'}",Concentrate,
168,flowertopia,tapered-bristle-pipe-cleaners-by-randy-s,Tapered Bristle Pipe Cleaners by Randy's,Humble and Fume,1.49,False,,,,Accessories,
169,flowertopia,top-puff-bottle-toppers,Top Puff Bottle Toppers,Humble and Fume,14.99,False,,,,Accessories,
170,flowertopia,transdermal-1-1-cream,Transdermal 1:1 Cream,LivRelief,54.49,False,43.59,True,"{'bogoSpecials': None, 'saleSpecials': [{'discount': 20, 'discountStacking': None, 'menuType': 'both', 'percentDiscount': True, 'source': None, 'sourceId': None, 'specialId': '62470e9a0211197a6cefb2b6', 'specialName': 'Self Care Saturday', 'specialRestrictions': {'concentrates-oil': {'discountType': 'percentDiscount'}, 'capsules-tablets': {'discountType': 'percentDiscount'}, 'Topicals': {'discountType': 'percentDiscount'}}, 'stackingBehavior': None, 'stackingMode': None, 'targetPrice': False, '__typename': 'Products_specialData_saleSpecials'}], '__typename': 'Products_specialData'}",Topicals,
171,flowertopia,universal-510-thread-usb-charger,Universal 510 Thread USB Charger,Maq Distributors,4,False,,,,Accessories,
172,flowertopia,wappa,Wappa,Redecan,7.99,False,,,,Flower,
173,flowertopia,wedding-pie,Wedding Pie,Back Forty,21.75,False,,,,Flower,
